,BHP,XJO,SP500,BILL30  (daily)
Date,Close,Close,Close,Close
1-Jan-19,34.23,5646.369,2506.85,0.01%
2-Jan-19,33.68,5557.755,2510.03,0.01%
3-Jan-19,33.68,5633.405,2447.89,0.01%
4-Jan-19,33.38,5619.355,2531.94,0.01%
7-Jan-19,34.39,5683.189,2549.69,0.01%
8-Jan-19,34.43,5722.439,2574.41,0.01%
9-Jan-19,34.3,5778.289,2584.96,0.01%
10-Jan-19,33.14,5795.27,2596.64,0.01%
11-Jan-19,32.79,5774.584,2596.26,0.01%
14-Jan-19,32.71,5773.372,2582.61,0.01%
15-Jan-19,33.06,5814.565,2610.3,0.01%
16-Jan-19,32.93,5835.159,2616.1,0.01%
17-Jan-19,32.87,5850.054,2635.96,0.01%
18-Jan-19,33.11,5879.594,2670.71,0.01%
21-Jan-19,33.2,5890.382,2670.71,0.01%
22-Jan-19,32.77,5858.788,2632.9,0.01%
23-Jan-19,32.63,5843.722,2638.7,0.01%
24-Jan-19,32.62,5865.692,2642.33,0.01%
25-Jan-19,33.05,5905.605,2664.76,0.01%
28-Jan-19,33.05,5905.605,2643.85,0.01%
29-Jan-19,33.74,5874.165,2640,0.01%
30-Jan-19,34.6,5886.713,2681.05,0.01%
31-Jan-19,34.83,5864.654,2704.1,0.01%
1-Feb-19,35,5862.831,2706.53,0.01%
4-Feb-19,35,5891.201,2724.87,0.01%
5-Feb-19,35.39,6005.915,2737.7,0.01%
6-Feb-19,35.98,6026.146,2731.61,0.01%
7-Feb-19,35.87,6092.464,2706.05,0.01%
8-Feb-19,35.33,6071.458,2707.88,0.01%
11-Feb-19,36.04,6060.849,2709.8,0.01%
12-Feb-19,36.28,6079.078,2744.73,0.01%
13-Feb-19,36.08,6063.569,2753.03,0.01%
14-Feb-19,36.67,6059.385,2745.73,0.01%
15-Feb-19,36.47,6066.101,2775.6,0.01%
18-Feb-19,37,6089.836,2775.6,0.01%
19-Feb-19,37.01,6106.88,2779.76,0.01%
20-Feb-19,37.94,6096.49,2784.7,0.01%
21-Feb-19,37.85,6139.248,2774.88,0.01%
22-Feb-19,37.69,6167.313,2792.67,0.01%
25-Feb-19,38.03,6186.322,2796.11,0.01%
26-Feb-19,37.55,6128.391,2793.9,0.01%
27-Feb-19,37.68,6150.27,2792.38,0.01%
28-Feb-19,37.23,6168.992,2784.49,0.01%
1-Mar-19,37.18,6192.733,2803.69,0.01%
4-Mar-19,37.62,6217.408,2792.81,0.01%
5-Mar-19,37.3,6199.292,2789.65,0.01%
6-Mar-19,37.62,6245.615,2771.45,0.01%
7-Mar-19,37.37,6263.885,2748.93,0.01%
8-Mar-19,36.88,6203.761,2743.07,0.01%
11-Mar-19,36.52,6180.19,2783.3,0.01%
12-Mar-19,36.91,6174.823,2791.52,0.01%
13-Mar-19,36.87,6161.186,2810.92,0.01%
14-Mar-19,37.16,6179.589,2808.48,0.01%
15-Mar-19,36.48,6175.173,2822.48,0.01%
18-Mar-19,36.98,6190.528,2832.94,0.01%
19-Mar-19,37.59,6184.79,2832.57,0.01%
20-Mar-19,37.2,6165.348,2824.23,0.01%
21-Mar-19,37.68,6167.166,2854.88,0.00%
22-Mar-19,37.61,6195.232,2800.71,0.00%
25-Mar-19,37.13,6126.21,2798.36,0.00%
26-Mar-19,37.55,6130.588,2818.46,0.00%
27-Mar-19,37.9,6135.971,2805.37,0.00%
28-Mar-19,38.24,6176.078,2815.44,0.00%
29-Mar-19,38.49,6180.731,2834.4,0.00%
1-Apr-19,39.05,6216.959,2867.19,0.00%
2-Apr-19,39.03,6242.36,2867.24,0.00%
3-Apr-19,39.91,6285.046,2873.4,0.00%
4-Apr-19,39.42,6232.751,2879.39,0.00%
5-Apr-19,39.22,6181.259,2892.74,0.00%
8-Apr-19,39.89,6221.352,2895.77,0.00%
9-Apr-19,40.03,6221.816,2878.2,0.00%
10-Apr-19,39.89,6223.544,2888.21,0.00%
11-Apr-19,39.64,6198.672,2888.32,0.00%
12-Apr-19,39.58,6251.323,2907.41,0.00%
15-Apr-19,39.54,6251.437,2905.58,0.00%
16-Apr-19,39.37,6277.448,2907.06,0.00%
17-Apr-19,38.3,6256.376,2900.45,0.00%
18-Apr-19,38.23,6259.815,2905.03,0.00%
19-Apr-19,38.23,6259.815,2905.03,0.00%
22-Apr-19,38.23,6259.815,2907.97,0.00%
23-Apr-19,38.33,6319.418,2933.68,0.00%
24-Apr-19,38.2,6382.143,2927.25,0.00%
25-Apr-19,38.2,6382.143,2926.17,0.00%
26-Apr-19,37.6,6385.646,2939.88,0.00%
29-Apr-19,37.82,6359.493,2943.03,0.00%
30-Apr-19,37.4,6325.466,2945.83,0.00%
1-May-19,37.48,6375.889,2923.73,0.00%
2-May-19,37.02,6338.408,2917.52,0.00%
3-May-19,36.94,6335.797,2945.64,0.00%
6-May-19,36.8,6283.724,2932.47,0.00%
7-May-19,37.3,6295.679,2884.05,0.00%
8-May-19,37.18,6269.146,2879.42,0.00%
9-May-19,36.98,6295.328,2870.72,0.00%
10-May-19,36.8,6310.852,2881.4,0.00%
13-May-19,36.93,6297.592,2811.87,0.00%
14-May-19,36.52,6239.913,2834.41,0.00%
15-May-19,37.2,6284.204,2850.96,0.00%
16-May-19,37.54,6327.835,2876.32,0.00%
17-May-19,38.46,6365.299,2859.53,0.00%
20-May-19,38.21,6476.149,2840.23,0.00%
21-May-19,37.94,6500.141,2864.36,0.00%
22-May-19,38.07,6510.712,2856.27,0.00%
23-May-19,37.32,6491.794,2822.24,0.00%
24-May-19,37.45,6456.043,2826.06,0.00%
27-May-19,37.94,6451.893,2826.06,0.00%
28-May-19,38.6,6484.835,2802.39,0.00%
29-May-19,38.36,6440.026,2783.02,0.00%
30-May-19,37.7,6392.126,2788.86,0.00%
31-May-19,37.76,6396.852,2752.06,0.00%
3-Jun-19,36.81,6320.55,2744.45,0.00%
4-Jun-19,37.31,6332.363,2803.27,0.00%
5-Jun-19,37.54,6358.521,2826.15,0.00%
6-Jun-19,37.05,6382.964,2843.49,0.00%
7-Jun-19,37.84,6443.891,2873.34,0.00%
10-Jun-19,37.84,6443.891,2886.73,0.00%
11-Jun-19,38.7,6546.293,2885.72,0.00%
12-Jun-19,39.75,6543.742,2879.84,0.00%
13-Jun-19,39.56,6542.416,2891.64,0.00%
14-Jun-19,40.3,6553.997,2886.98,0.00%
17-Jun-19,40.16,6530.913,2889.67,0.00%
18-Jun-19,40.16,6569.999,2917.75,0.00%
19-Jun-19,40.98,6648.129,2926.46,0.00%
20-Jun-19,40.85,6687.413,2954.18,0.00%
21-Jun-19,41.03,6650.783,2950.46,0.00%
24-Jun-19,41.2,6665.437,2945.35,0.00%
25-Jun-19,41.24,6658.028,2917.38,0.00%
26-Jun-19,41.16,6640.485,2913.78,0.00%
27-Jun-19,41.95,6666.312,2924.92,0.00%
28-Jun-19,41.16,6618.772,2941.76,0.00%
1-Jul-19,41.68,6648.063,2964.33,0.00%
