Effective Date,Ticker,Security Name,% Wgt,Market Value
31/03/2023,MMM US,3M CO,0.17,632800775
31/03/2023,ABT US,ABBOTT LABORATORIES,0.51,1926119419
31/03/2023,ABBV US,ABBVIE INC,0.82,3074755053
31/03/2023,ACN US,ACCENTURE PLC-CL A,0.52,1963554999
31/03/2023,ATVI US,ACTIVISION BLIZZARD INC,0.18,664997839
31/03/2023,ADBE US,ADOBE INC,0.51,1924682294
31/03/2023,AAP US,ADVANCE AUTO PARTS INC,0.02,79938753
31/03/2023,AMD US,ADVANCED MICRO DEVICES,0.46,1723992372
31/03/2023,AES US,AES CORP,0.05,175470888
31/03/2023,AFL US,AFLAC INC,0.11,397569337
31/03/2023,A US,AGILENT TECHNOLOGIES INC,0.12,446021856
31/03/2023,APD US,AIR PRODUCTS & CHEMICALS INC,0.18,693849098
31/03/2023,AKAM US,AKAMAI TECHNOLOGIES INC,0.04,134932824
31/03/2023,ALK US,ALASKA AIR GROUP INC,0.02,56431165
31/03/2023,ALB US,ALBEMARLE CORP,0.08,282008579
31/03/2023,ARE US,ALEXANDRIA REAL ESTATE EQUIT,0.06,215803558
31/03/2023,ALGN US,ALIGN TECHNOLOGY INC,0.07,263951888
31/03/2023,ALLE US,ALLEGION PLC,0.03,102944394
31/03/2023,LNT US,ALLIANT ENERGY CORP,0.04,146240119
31/03/2023,ALL US,ALLSTATE CORP,0.09,320063826
31/03/2023,GOOGL US,ALPHABET INC-CL A,1.79,6740046887
31/03/2023,GOOG US,ALPHABET INC-CL C,1.57,5890952080
31/03/2023,MO US,ALTRIA GROUP INC,0.23,872179108
31/03/2023,AMZN US,AMAZON.COM INC,2.67,10045919294
31/03/2023,AMCR US,AMCOR PLC,0.05,185795934
31/03/2023,AEE US,AMEREN CORPORATION,0.06,243250656
31/03/2023,AAL US,AMERICAN AIRLINES GROUP INC,0.03,104697993
31/03/2023,AEP US,AMERICAN ELECTRIC POWER,0.14,509219894
31/03/2023,AXP US,AMERICAN EXPRESS CO,0.29,1073787881
31/03/2023,AIG US,AMERICAN INTERNATIONAL GROUP,0.11,407548573
31/03/2023,AMT US,AMERICAN TOWER CORP,0.28,1036296211
31/03/2023,AWK US,AMERICAN WATER WORKS CO INC,0.08,308390016
31/03/2023,AMP US,AMERIPRISE FINANCIAL INC,0.09,355190896
31/03/2023,ABC US,AMERISOURCEBERGEN CORP,0.08,282463180
31/03/2023,AME US,AMETEK INC,0.1,364114142
31/03/2023,AMGN US,AMGEN INC,0.37,1408281022
31/03/2023,APH US,AMPHENOL CORP-CL A,0.14,529694085
31/03/2023,ADI US,ANALOG DEVICES INC,0.29,1090533118
31/03/2023,ANSS US,ANSYS INC,0.08,316264832
31/03/2023,AON US,AON PLC-CLASS A,0.19,710359405
31/03/2023,APA US,APA CORP,0.03,127822387
31/03/2023,AAPL US,APPLE INC,7.12,26755476661
31/03/2023,AMAT US,APPLIED MATERIALS INC,0.3,1129730645
31/03/2023,APTV US,APTIV PLC,0.09,331111732
31/03/2023,ACGL US,ARCH CAPITAL GROUP LTD,0.07,273429634
31/03/2023,ADM US,ARCHER-DANIELS-MIDLAND CO,0.13,476624102
31/03/2023,ANET US,ARISTA NETWORKS INC,0.12,453240465
31/03/2023,AJG US,ARTHUR J GALLAGHER & CO,0.12,442660922
31/03/2023,AIZ US,ASSURANT INC,0.02,69431198
31/03/2023,T US,AT&T INC,0.4,1496934554
31/03/2023,ATO US,ATMOS ENERGY CORP,0.05,175486769
31/03/2023,ADSK US,AUTODESK INC,0.13,490382079
31/03/2023,ADP US,AUTOMATIC DATA PROCESSING,0.27,1006375539
31/03/2023,AZO US,AUTOZONE INC,0.13,503153787
31/03/2023,AVB US,AVALONBAY COMMUNITIES INC,0.07,256113861
31/03/2023,AVY US,AVERY DENNISON CORP,0.04,159480846
31/03/2023,BKR US,BAKER HUGHES CO,0.08,314766929
31/03/2023,BALL US,BALL CORP,0.05,187981753
31/03/2023,BAC US,BANK OF AMERICA CORP,0.58,2177688341
31/03/2023,BK US,BANK OF NEW YORK MELLON CORP,0.1,362682768
31/03/2023,BBWI US,BATH & BODY WORKS INC,0.02,90531513
31/03/2023,BAX US,BAXTER INTERNATIONAL INC,0.06,223312936
31/03/2023,BDX US,BECTON DICKINSON AND CO,0.2,766143726
31/03/2023,BRK/B US,BERKSHIRE HATHAWAY INC-CL B,1.61,6069134334
31/03/2023,BBY US,BEST BUY CO INC,0.05,171443391
31/03/2023,BIO US,BIO-RAD LABORATORIES-A,0.03,110701522
31/03/2023,TECH US,BIO-TECHNE CORP,0.03,127296018
31/03/2023,BIIB US,BIOGEN INC,0.12,437373720
31/03/2023,BLK US,BLACKROCK INC,0.29,1094998821
31/03/2023,BA US,BOEING CO/THE,0.35,1303226186
31/03/2023,BKNG US,BOOKING HOLDINGS INC,0.3,1120717450
31/03/2023,BWA US,BORGWARNER INC,0.03,127133071
31/03/2023,BXP US,BOSTON PROPERTIES INC,0.02,82621757
31/03/2023,BSX US,BOSTON SCIENTIFIC CORP,0.21,780500119
31/03/2023,BMY US,BRISTOL-MYERS SQUIBB CO,0.43,1607668946
31/03/2023,AVGO US,BROADCOM INC,0.78,2924748141
31/03/2023,BR US,BROADRIDGE FINANCIAL SOLUTIO,0.05,187837809
31/03/2023,BRO US,BROWN & BROWN INC,0.04,147245379
31/03/2023,BF/B US,BROWN-FORMAN CORP-CLASS B,0.03,126199415
31/03/2023,BG US,BUNGE LTD,0.04,156464530
31/03/2023,CHRW US,C.H. ROBINSON WORLDWIDE INC,0.03,127385285
31/03/2023,CDNS US,CADENCE DESIGN SYS INC,0.17,628723107
31/03/2023,CZR US,CAESARS ENTERTAINMENT INC,0.03,112579533
31/03/2023,CPT US,CAMDEN PROPERTY TRUST,0.03,125971550
31/03/2023,CPB US,CAMPBELL SOUP CO,0.03,120775061
31/03/2023,COF US,CAPITAL ONE FINANCIAL CORP,0.11,400658621
31/03/2023,CAH US,CARDINAL HEALTH INC,0.06,215551292
31/03/2023,KMX US,CARMAX INC,0.03,112598055
31/03/2023,CCL US,CARNIVAL CORP,0.03,110967666
31/03/2023,CARR US,CARRIER GLOBAL CORP,0.11,417972046
31/03/2023,CTLT US,CATALENT INC,0.03,129096494
31/03/2023,CAT US,CATERPILLAR INC,0.35,1299201799
31/03/2023,CBOE US,CBOE GLOBAL MARKETS INC,0.04,153910053
31/03/2023,CBRE US,CBRE GROUP INC - A,0.07,250540885
31/03/2023,CDW US,CDW CORP/DE,0.08,287864613
31/03/2023,CE US,CELANESE CORP,0.03,117814080
31/03/2023,CNC US,CENTENE CORP,0.1,379791723
31/03/2023,CNP US,CENTERPOINT ENERGY INC,0.05,202327450
